English,Vietnamese,Tactics in English,Chiến Pháp,mangtheo,mangtheo2,Mùa (Global)
"Zhang Jiao, Zhang Bao, Zhang Liang","Trương Giác, Trương Bảo, Trương Lương",Way of Tao,Thái Bình Đạo Pháp,"[Bị động] Nhận 14%→28% Kỳ Mưu và tăng xác suất phát động Chiến Pháp chủ động bản thân mang theo (3%→6%, nếu là Chiến Pháp chuẩn bị thì sẽ tăng 6%→12%, bị Trí Lực ảnh hưởng), khi bản thân là Chủ Tướng Quân Khăn Vàng sẽ khiến Phó Tướng Quân Khăn Vàng cũng được tăng xác suất phát động Chiến Pháp bản thân mang theo",Thái Bình Đạo Pháp,2
"Huangfu Song, Zhu Jun, Lu Zhi, He Jin","Hoàng Phổ Tung, Chu Tuấn, Lô Trực, Hà Tiến",Force Preparation,Chờ Đợi Xuất Phát,"[Chỉ huy] Trong chiến đấu, vào hiệp chẵn, sẽ hồi phục Binh Lực cho Tập thể quân ta (2 người) (tỷ lệ Trị Liệu 44%→88%, bị Trí Lực ảnh hưởng)",Chờ Đợi Xuất Phát,3
Gan Ning,Cam Ninh,Bright Sail Army,Quân Cẩm Phàm,"[Binh chủng - Cung] Tiến bậc Lính Cung thành Quân Cẩm Phàm khí cái thiên phu: Khi đội quân tấn công thường, có 40% xác suất khiến mục tiêu rơi vào trạng thái Bỏ chạy (tỷ lệ sát thương 32%→64%, bị Võ Lực ảnh hưởng), duy trì 2 hiệp; nếu mục tiêu đã Bỏ chạy thì sẽ gây ra tấn công binh đao (tỷ lệ sát thương 55%→110%) và hồi phục Binh Lực tương đương 30% lượng sát thương; nếu Cam Ninh thống lĩnh, tăng 3%→6% Hội Tâm cho quân Đồng Minh",Quân Cẩm Phàm,3
Other 5-star x3,Quần Cam/ Quần 5 sao x3,Danyang Troop,Lính Đan Dương,"[Binh chủng - Khiên] Khi Lính Khiên tiến cấp thành Lính Đan Dương dũng mãnh vô uy: Trước khi bắt đầu mỗi hiệp, căn cứ vào sát thương binh đao toàn thể quân ta tạo ra ở hiệp trước có tỷ lệ nhất định nhận Lính Đan Dương, có thể cộng dồn (Khi quân ta chịu sát thương mưu lược, sẽ tiêu hao Lính Đan Dương để chống đỡ 18%→36% sát thương mưu lược, số lượng Lính Đan Dương mỗi hiệp giảm 10%); Nếu Đào Khiêm thống lĩnh, thì tỷ lệ chống đỡ sẽ tăng 20%→40%",Lính Đan Dương,N/A
Others Purple General x10,Quần tím x10,Manipulate,Ỷ Thế Cầm Quyền,"[Chủ động - 35%] Gây cho cá thể quân địch ngẫu nhiên tấn công Mưu Lược (tỷ lệ sát thương 93%→186%, bị Trí Lực ảnh hưởng), và Hỗn Loạn (tấn công và Chiến Pháp sẽ không phân biệt khi lựa chọn mục tiêu) 1 hiệp",Ỷ Thế Cầm Quyền,2
Wei Purple General x10,Nguỵ tím x10,Strategic Might,Truyền Hịch Tuyên Uy,"[Chủ động - 35%] Gây cho cá thể quân địch ngẫu nhiên tấn công Mưu Lược (tỷ lệ sát thương 82.5%→165%, bị Trí Lực ảnh hưởng), và Giao Binh Khí ( không thể tiến hành tấn công thường) 2 hiệp",Truyền Hịch Tuyên Uy,2
"Any 4 of Yuan Shao, Sun Jian, Ma Teng, Gongsun Zan, Cao Cao, Liu Bei","4 trong số: Viên Thiệu, Tôn Kiên, Mã Đằng, Công Tôn Toản, Tào Tháo, Lưu Bị",Three Force Array,Tam Thế Trận,"[Pháp trận] Khi phe của 3 Võ Tướng quân ta đều khác nhau, và Chiến Pháp mang theo của Tướng Chính phe ta là Chiến Pháp Chủ Động hoặc Chiến Pháp Đột Kích, thì ở 5 hiệp đầu, Tướng Chính tăng 8%→16% xác suất dùng Chiến Pháp Chủ Động/ Đột Kích mang theo; Trước mỗi hiệp hành động, giúp sát thương phải chịu của Phó Tướng có tổn thất binh lực khá nhiều giảm 15%→30%, sát thương gây ra bởi Phó Tướng còn lại tăng 12.5%→25%, duy trì 1 hiệp",Tam Thế Trận,3
"Hua Xiong, Pan Feng","Hoa Hùng, Phan Phụng",Unrivalled Might,Khí Lăng Tam Quân,"[Bị động] Khi bị tấn công thường sẽ tiến hành 1 lần phản kích người tấn công (tỷ lệ sát thương 26%→52%), khi bản thân là Phó Tướng, tỷ lệ sát thương tăng lên 37%→74%",Khí Lăng Tam Quân,2
"Lu Bu, Yuan Shao","Lữ Bố, Viên Thiệu",Inhuman Might,Quỷ Thần Đinh Uy,"[Đột kích - 35%] Sau khi tấn công thường, lại phát động 1 lần tấn công Binh Đạo vào mục tiêu tấn công (tỷ lệ sát thương 102%→204%), khi bản thân là Chủ Tướng và Binh Lực mục tiêu thấp hơn 50%, sẽ tăng thêm sát thương (bị Binh Lực tổn thất của mục tiêu ảnh hưởng, tối đa tăng 25%→50%)",Quỷ Thần Đinh Uy,2
"Dong Zhuo, Li Ru, Li Jue, Guo Si","Đổng Trác, Lý Nho, Lý Thôi, Quách Dĩ",Burning Fields,Lửa Lan Khắp Chốn,"[Chủ động - 40%] Phóng cho tập thể quân địch (2-3 người) trạng thái Đốt Cháy, mỗi hiệp gây ra sát thương liên tục (tỷ lệ sát thương 28%→56%, bị Trí Lực ảnh hưởng), duy trì 2 hiệp; nếu mục tiêu đã có trạng thái Đốt Cháy sẽ gây ra tấn công Binh Đao (tỷ lệ sát thương 59%→118%)",Lửa Lan Khắp Chốn,2
"Any 4 of Gongsun Zan, Yuan Shao, Tian Feng, Yan Liang, Wen Chou, Zhao Yun","4 trong số: Công Tôn Toản, Viên Thiệu, Điền Phong, Nhan Lương, Văn Xú, Triệu Vân",Vanguard Formation,Hình Nhất Trận,"[Pháp trận] Khi loại hình chiến pháp tự mang của 3 võ tướng quân ta giống nhau, trong chiến đấu, thuộc tính tự thân tối đa tăng cao 30→60 điểm, sát thương gây ra và phải chịu của một nhóm quân đồng minh (2 người) giảm 15%→30%, hiệu ứng này trong mỗi hiệp giảm đi 5%→10%, sau khi hiệu ứng này kết thúc, mỗi hiệp khiến sát thương gây ra tăng cao 8%→16%, sát thương phải chịu tăng cao 2%→4%, có thể cộng dồn",Hình Nhất Trận,8
"Sun Jian, Sun Ce, Huang Gai, Han Dang, Liu Biao","Tôn Kiên, Tôn Sách, Hoàng Cái, Hàn Đương, Lưu Biểu",Single Duel,Độc Hành Phó Đấu,"[Chủ động - 50%] Chế Giễu toàn thể quân địch (cưỡng chế mục tiêu tự tấn công thường bản thân), đồng thời tăng cho bản thân 20%→40% Thống Soái, duy trì 2 hiệp",Độc Hành Phó Đấu,5
"Li Jue, Guo Si, Others Purple General x8","Lý Thôi, Quách Dĩ, Quần tím x8",Group Exhaustion,Đánh Vào Chỗ Đông,"[Chủ động - 35%] Gây cho tập thể quân địch (1 - 2 người) sát thương Binh Đao (tỷ lệ sát thương 82%→164%), và có 45% xác suất Trị Liệu bản thân (tỷ lệ Trị Liệu 44%→88%, bị Võ Lực ảnh hưởng)",Đánh Vào Chỗ Đông,4
Cao Cao or Xun Yu,Tào Tháo/ Tuân Úc,QinZhou Infantry,Lính Thanh Châu,"[Binh chủng - Thương] Tiến bậc lính thương thành Lính Thanh Châu xung kiên hủy nhuệ: Chiến đấu 2 hiệp đầu, khi một nhóm quân ta (2 người) bị công thường sẽ tiến hành 1 lần phản kích kẻ tấn công (tỉ lệ sát thương 36%→72%), khi hiệp thứ 3 bắt đầu sẽ căn cứ theo lần phản kích để khôi phục binh lực của toàn thể quân ta, ưu tiên khôi phục hoàn toàn đơn thể có binh lực thấp nhất, sau đó mới khôi phục các đơn thể khác (tổng tỉ lệ trị liệu 90%→180%, chịu ảnh hưởng của võ lực, chịu thêm ảnh hưởng sát thương kẻ địch gây ra); nếu Tào Tháo thống lĩnh, hiệu ứng trị liệu sẽ chịu thêm ảnh hưởng của thống soái",Lính Thanh Châu,3
Other 5-star x3,Quần Cam/ Quần 5 sao x3,Feixiong Army,Phi Hùng Quân,"[Binh Chủng - Kỵ] Khi Lính Kỵ tiến cấp thành Phi Hùng Quân dũng bất khả đương: Hiệu quả trị liệu toàn thể quân ta tăng 8%→16%, khi Chủ Tướng phe ta hành động mỗi hiệp, có 60% xác suất tạo thành sát thương mưu lược đối với quần thể quân địch (2 người) (Tỷ lệ sát thương 32%→64%, chịu sự ảnh hưởng lượng trị liệu tạo thành tích lũy toàn thể quân ta, sau khi kích hoạt sẽ reset tiến độ tích lũy); Nếu Đổng Trác thống lĩnh, thì hiệu quả trị liệu chịu phải sẽ tăng 10%→20%",Phi Hùng Quân,N/A
"Liu Bei, Mi Zhu, Kong Rong, Tao Qian","Lưu Bị, Mi Trúc, Khổng Dung, Đào Khiêm",Appease the Crowd,An Ủi Quân Dân,"[Chỉ huy] Chiến đấu 3 hiệp đầu, khiến sát thương của Tập thể quân ta (2 người) gây ra giảm 12%→24%, sát thương phải chịu giảm 12%→24% (bị Thống Soái ảnh hưởng), khi chiến đấu hiệp thứ 4, hồi phục Binh Lực (tỷ lệ Trị Liệu 63%→126%, bị Trí Lực ảnh hưởng)",An Ủi Quân Dân,2
"Xiahou Dun, Gao Shun, Xiahou Yuan, Li Dian, Lu Qian","Hạ Hầu Đôn, Cao Thuận, Hạ Hầu Uyên, Lý Điển, Lữ Kiền",Iron Might,Vô Địch Can Trường,"[Bị động] Trong quá trình chiến đấu, sau khi chịu sát thương Binh Đao, hiệp sau khi hành động sẽ tăng 10%→20% Hội Tâm và khiến sát thương lần tấn công tiếp theo tăng 32.5%→65%, duy trì 1 hiệp",Vô Địch Can Trường,4
"Sun Ce, Taishi Ci","Tôn Sách, Thái Sử Từ",Fight with Blade,Huyết Đao Tranh Giành,"[Bị động] Trong chiến đấu, tăng cao 37.5%→75% sát thương công kích phổ thông, sau khi công kích phổ thông gây ra hiệu ứng say đấu với mục tiêu, mỗi hiệp kích phát tối đa 1 lần, nếu trên người mục tiêu có 3 lần hiệu ứng say đấu, tốn toàn bộ hiệu ứng say đấu thêm tăng cao cho chính mình sát thương công kích phổ thông (5.5%→11%×số lần say đấu), hiệu quả tăng thêm không thể chồng lên, duy trì đến khi kết thúc chiến đấu",Huyết Đao Tranh Giành,9
"Sun Ce, Zhou Yu, Zhang Zhao","Tôn Sách, Chu Du, Trương Chiêu",Eagle's Might,Hổ Cứ Ưng Dương,"[Bị động] Trong khi chiến đấu, khiến bản thân Miễn Dịch trạng thái Giao Binh Khí (không thể tấn công thường), sau khi tấn công thường, khiến sát thương Binh Đao bản thân gây ra tăng 3.5%→7%, tối đa cộng dồn 4 lần",Hổ Cứ Ưng Dương,2
Others Purple General x10,Quần tím x10,Well Stocked,Kho Lương Đầy Ắp,"[Nội chính] Khi Võ Tướng được ủy nhiệm làm Quan Lương Thảo, sản lượng lương thực tăng 1%→2%",Kho Lương Đầy Ắp,2
"Dian Wei, Zhang Xiu, Hu Che'er, Cao Ang","Điển Vi, Trương Tú, Hồ Xa Nhi, Tào Ngang",Tiger Guards,Quân Hổ Vệ,"[Binh chủng - Khiên] Tiến bậc Lính Khiên thành Quân Hổ Vệ thiện cố cương trường: Trong quá trình chiến đấu, khi tướng chính quân ta sắp nhận phải tấn công, Phó Tướng tăng 6→12 Võ Lực, tối đa tăng 5 lần, và lần lượt gây ra sát thương Binh Đạo cho người tấn công (tỷ lệ sát thương 38%→72%, bị Binh Lực tổn thất của bản thân ảnh hưởng, tối đa tăng 20%→40%), mỗi hiệp tối đa kích hoạt 1 lần, nếu Điển Vi hoặc Hứa Chử thống lĩnh, bản thân tăng 25→50 Thống Soái",Quân Hổ Vệ,3
"Yuan Shu, Sun Jian, Sun Ce, Ji Ling","Viên Thuật, Tôn Kiên, Tôn Sách, Kỷ Linh",All Together Now,Chúng Động Vạn kế,"[Bị động] Khi chịu tấn công thường, có 45% xác suất gây sát thương binh đạo cho bên công kích (tỷ lệ sát thương 70%→140%), và khiến sát thương lần sau gây ra của hắn giảm 20%→40%",Chúng Động Vạn kế,11
"Xun Yu, Xun You, Gao Shun, Song Xian","Tuân Úc, Tuân Du, Cao Thuận, Tống Hiến",Flood the Walls,Quyết Thuỷ Hội Thành,"[Chủ động - 45%] Chuẩn bị 1 hiệp, gây cho một nhóm quân địch (2 - 3 người) gây ra trạng thái phá hoại (cấm dùng trang bị) và trạng thái thủy công, mỗi hiệp gây ra sát thương liên tục (tỷ lệ sát thương 56%→112%, bị Trí lực ảnh hưởng), duy trì 2 hiệp, nếu chiến pháp này phát động trong hiệp đầu sẽ không cần chuẩn bị",Quyết Thuỷ Hội Thành,7
"Any 4 of Cao Cao, Liu Bei, Yuan Shu, Yuan Shao, Sun Ce","4 trong số: Tào Tháo, Lưu Bị, Viên Thuật, Viên Thiệu, Tôn Sách",Hidden Dragon Formation,Tiềm Long Trận,"[Pháp trận] Khi 3 Vũ Tưởng của quân ta thuộc các phe khác nhau, Tưởng Chính tăng 7,5%→15% Võ lực, Trí lực, Tốc độ và Thống soái, sát thương gây ra giảm 15%; sát thương gây ra bởi Phủ Tưởng tăng 7,5%→15% sát thương phải chịu giảm 7,5%→15% và có thể kích hoạt hiệu quả Tướng Chính của Chiến Pháp: Nếu Chiến Pháp bất kỳ của Tưởng Chính phủ ta sở hữu hiệu quả Tưởng Chính, sẽ khiến tướng đó mất đi hiệu quả này và chỉ số thuộc tỉnh tăng sẽ giảm còn 2.5%→5%",Tiềm Long Trận,12
,"Vu Cát, Trương Chiêu, Tôn Sách, Lữ Phạm",,Đích Đến Cuối Cùng,"[Chủ động - 40%] Giúp nhóm (2 người) quân ta hồi phục binh lực nhất định (tỉ lệ trị liệu 36%→72%, bị Thống Soái ảnh hưởng), đồng thời giúp 1 Võ Tướng có Võ Lực cao nhất quân ta phát động 1 lần tấn công Binh Đạo lên 1 Võ Tướng phe địch (tỉ lệ sát thương 43%→86%); Võ Tướng có Trí Lực cao nhất phát động 1 lần tấn công Mưu Lược lên 1 Võ Tướng phe địch (tỉ lệ sát thương 43%→86%); Nếu người có Võ Lực cao nhất và người có Trí Lực cao nhất quân ta là cùng một người, thì tỉ lệ sát thương của 2 lần tấn công đều giảm còn 36%→72%",Đích Đến Cuối Cùng,15
"Yan Liang, Song Xian","Nhan Lương, Tống Hiến",Groundbreaker,Đương Phong Thôi Quyết,"[Đột kích - 35%] Sau khi tấn công thường, lại phát động thêm 1 lần tấn công Mưu Lược (tỷ lệ sát thương 91%→182%, bị Trí Lực ảnh hưởng), và Ngụy Báo (Cấm dùng Chiến Pháp bị động và Chiến Pháp chỉ huy) 1 hiệp",Đương Phong Thôi Quyết,3
"Wen Chou, Xu Huang","Văn Xú, Từ Hoảng",Tightened Bow,Dẫn Huyền Lực Chiến,"(Cung chuyên dụng) Sau khi tấn công thường, có 45% xác suất nhận trạng thái tấn công nhóm (Khi tấn công thường, gây cho Võ Tướng khác cùng đội quân mục tiêu sát thương) (tỷ lệ sát thương26%→52%), nếu đã vào trạng thái tấn công nhóm, thì sẽ tăng 8→16 Võ Lực, duy trì 3 hiệp, tối đa cộng dồn 6 lần",Dẫn Huyền Lực Chiến,4
"Any 4 of Yuan Shao, Cao Cao, Gao Lan, Zhang He, Xu Chu, Xu Huang","4 trong số: Viên Thiệu, Tào Tháo, Cao Lãm, Trương Cáp, Hứa Chử, Từ Hoảng",Rarified Formation,Võ Phong Trận,"[Pháp trận] Khi tỉnh binh chủng ăn ý của 3 võ tướng quân ta đều không tương đồng, chiếu đấu 5 hiệp đầu, chủ tướng quân ta có 80% xác suất ưu tiên trở thành mục tiêu của chiến pháp quân địch, và sát thương mà khiến chiến pháp này gây cho mục tiêu giảm 15%→30% (chịu ảnh hưởng của thống soái chủ tướng) trong chiến đấu, ở hiệp số lẻ khiến phó tướng có binh chủng ăn ý tương đối thấp phục hồi binh lực của một quân ta (tỉ lệ trị liệu 92%→184%); ở hiệp số chẵn khiến sát thương mà phó tưởng có binh chủng ăn ý tương đối cao gây ra tăng cao 7.5%→15% (có thể cộng dồn)",Võ Phong Trận,6
"Guan Yu, Yan Liang, Wen Chou, Zhou Cang, Guan Ping, Sun Qian, Bian Xi","Quan Vũ, Nhan Lương, Văn Xú, Chu Thương, Quan Bình, Tôn Càn, Biện Hỉ",Lone Rider,Cưỡi Ngựa Nghìn Dặm,"[Bị động] Khi chiến đấu, lúc bản thân chuẩn bị dùng Chiến Pháp Chuẩn Bị mang theo, có 35%→70% (bị Võ Lục ảnh hưởng) nhận được trạng thái Quan Sát (miễn dịch tất cả hiệu quả Khống Chế) đồng thời tăng 25–50 Võ Lực, duy trì 2 hiệp: Trong thời gian này, khi bản thân bị tấn công thường, sẽ tiến hành một lần phản kích với kẻ tấn công (tỉ lệ sát thương 119%→238%), mỗi hiệp kích hoạt tối đa 1 lần",Cưỡi Ngựa Nghìn Dặm,10
"Others Purple General x5, Wei Purple General x5","Quần cam, Nguỵ cam",Blazing Camp,Thiêu Đốt Doanh Luỹ,"[Chủ động - 40%] Gây cho tập thể quân địch (2 người) sát thương Mưu Lược (tỷ lệ sát thương 73%→146%, bị Trí Lực ảnh hưởng) và làm cho mục tiêu rơi vào trạng thái Cấm Trị Liệu (không thể hồi phục Binh Lực), duy trì 1 hiệp",Thiêu Đốt Doanh Luỹ,2
"Cao Cao, Xu Huang, Cao Hong, Chen Lin, Shen Pei","Tào Tháo, Từ Hoảng, Tào Hồng, Trần Lâm, Thẩm Phối",Hold the Fort,Anh Thành Tự Thủ,"[Chủ động - 50%] Hồi phục Binh Lực cho Tập thể quân ta (2 người) (tỷ lệ Trị Liệu 46%→92%, bị Trí Lực ảnh hưởng) và khiến mục tiêu nhận trạng thái Nghỉ Ngơi (mỗi hiệp hồi phục Binh Lực 1 lần, tỷ lệ Trị Liệu 31%→62%), duy trì 1 hiệp",Anh Thành Tự Thủ,4
"Zhang Fei, Xiahou Dun, Yue Jin, Wen Pin, Li Dian","Trương Phi, Hạ Hầu Đôn, Nhạc Tiến, Văn Sính, Lý Điển",Burning Bridge,Dùng Nước Đẩy Cầu,"[Chủ động - 40%] (Kỵ,Khiên. Thương Xe chuyên dụng) Gây ra cho một nhóm quân địch (2 - 3 người) trạng thái Bỏ chạy, mỗi hiệp duy trì gây ra sát thương (tỉ lệ sát thương 39%→78%, chịu ảnh hưởng vô lực) và khiến sát thương gây ra giảm 4%→8% (chịu ảnh hưởng của sự chênh lệch võ lực của hai bên), đồng thời khiến chính minh nhận được 8%→16% Làm phân (khi gây ra sát thương binh đao, khôi phục lượng binh lực nhất định căn cứ vào lượng sát thương của chính mình), duy trì 2 hiệp, sau khi phát động chiến pháp này sẽ vào 1 hiệp đóng băng",Dùng Nước Đẩy Cầu,6
"Zhou Yu, Zhuge Liang, Yu Jin","Chu Du, Gia Cát Lượng, Vu Cấm",Arrows with thatched boat,Thuyền Cỏ Mượn Tên,"[Chủ động - 65%] Xóa hiệu ứng tiêu cực cho một nhóm quân ta (2 - 3 người) và khiến một nhóm quân ta (2 người) nhận trạng thái Cấp cứu, mỗi khi chịu sát thương có 35%→70% xác suất khôi phục lượng binh lực nhất định (lượng sát thương 14%→28%, chịu ảnh hưởng của thống soái), duy trì 2 hiệp, sau khi phát động chiến pháp này sẽ vào 1 hiệp đóng băng",Thuyền Cỏ Mượn Tên,6
"Wei Yan, Huang Zhong, Shu 5-star x2","Nguỵ Diên, Hoàng Trung, Thục Cam/Thục 5 sao x2",Cleave Foe,Xế Đao Chước Địch,"[Chủ động - 35%] Khiến cá thể quân địch tăng 7.5%→15% sát thương binh đao phải chịu, và gây (tỷ lệ sát thương 104%→208%) sát thương binh đao và trạng thái Chấn Động cho kẻ đó, duy trì 1 hiệp",Xế Đao Chước Địch,N/A
"Ma Chao, Ma Teng, Pang De, Han Sui","Mã Siêu, Mã Đằng, Bàng Đức, Hàn Toại",Cavalry Ambush,Thiết Kỵ Khu Trì,"(Kỵ chuyên dụng) Chiến đấu 2 hiệp đầu, khiến toàn bộ quân địch rơi vào trạng thái Bị Tập Kích (hành động chậm lại), sau khi toàn quân ta phát động Chiến Pháp đột kích, mục tiêu tấn công thường giảm 7.5%→15% Thống Soái, duy trì 3 hiệp, được cộng dồn",Thiết Kỵ Khu Trì,4
"Ma Chao, Xu Chu","Mã Siêu, Hứa Chử",Desperate Berserk,Loã Y Huyết Chiến,"[Bị động] Trong chiến đấu không thể phát động Chiến Pháp chủ động, chiến đấu 3 hiệp đầu, nhận 45%→90% Liên Kích và 5%→10% Làm Phản, và khiến bản thân và cá thể quân địch giảm 40% Thống Soái",Loã Y Huyết Chiến,4
"Xiahou Yuan, Huang Zhong, Fa Zheng","Hạ Hầu Uyên, Hoàng Trung, Pháp Chính",Hit Weakness,Kích Kỳ Noạ Quy,"[Chủ động - 40%] Trước khi hành động vào hiệp sau, nếu sát thương phải chịu vượt quá 20% binh lực lớn nhất của chính mình, sẽ hồi phục binh lực của chính mình (tỉ lệ trị liệu 148%→296%, chịu ảnh hưởng thống soái), và giảm 12.5%→25% sát thương mưu lược nhận phải (chịu sát thương thống soái), duy trì 1 hiệp, nếu không sẽ gây ra sát thương binh đao cho toàn thể quân địch (tỉ lệ sát thương 77%→154%)",Kích Kỳ Noạ Quy,7
"Guan Yu, Pang De, Yu Jin, Cao Ren, Zhou Cang, Guan Ping","Quan Vũ, Bàng Đức, Vu Cấm, Tào Nhân, Chu Thương, Quan Bình",Victory in Pacifistic,Thắng Lợi Phi Tấn Công,"[Chỉ huy] Chiến đấu bắt đầu từ hiệp 3, mỗi lần Võ Lực phe ta có sát thương cao nhất gây sát thương Binh Đao, sẽ trị liệu cho quân ta có Binh Lực thấp nhất, lượng Chữa Trị bằng 10%→20% sát thương lần này (Bị ảnh hưởng bởi Võ Lực của Võ Tướng gây sát thương)",Thắng Lợi Phi Tấn Công,N/A
Wu 5-star x3,Ngô Cam/Ngô 5 sao x3,Defiant Guard,Giải Phiền Vệ,"[Binh chủng - Thương] Khi Lính Thương tiến cấp thành Giải Phiền Vệ vô địch: Trong chiến đấu, tốc độ toàn thể quân ta tăng 18→36 điểm, và sau khi tấn công thường của Võ Tướng có tốc độ nhanh nhất phe ta, có 30% xác suất tạo thành 1 lần sát thương đến cá thể quân địch (Tỷ lệ sát thương 18%→36%, chịu ảnh hưởng nhất định khá cao của Võ Lực và Trí Lực, thêm 40% sát thương thuộc tính tốc độ của Tướng này), nếu không có hiệu lực thì sẽ phục hồi binh lực nhất định của cá thể quân ta (Tỷ lệ trị liệu 36%→72%, chịu ảnh hưởng nhất định khá cao của Võ Lực và Trí Lực); Nếu Hàn Đương thống lĩnh, tỷ lệ sát thương cơ bản sẽ tăng 36%→72%",Giải Phiền Vệ,N/A
"Zhange He, Wang Ping, Ma Su","Trương Cáp, Vương Bình, Mã Tắc",End of Recourse,Tuyệt Kỳ Cấp Đạo,"[Chủ động - 50%] Chuẩn bị 1 hiệp, gây cho một nhóm quân địch (2 - 3 người) gây ra một lần công kích binh đao (tỉ lệ sát thương 81%→162%), khiến họ vào trạng thái cấm trị liệu (không thể khôi phục binh lực), duy trì 1 hiệp",Tuyệt Kỳ Cấp Đạo,6
,"Khương Duy, Đặng Ngải, Chung Hội",,Lâm Phong Quyết Địch,"[Chủ động - 30%→55%] Khiến bản thân vào trạng thái Liên Kích và Miễn Dịch Giao Binh Khí, duy trì 1 hiệp (Xác suất phát động 30%→55%)",Lâm Phong Quyết Địch,15
